Company,SalesRep,TEZRevenue,URL
12 Oaks Services,John Matiz,"$18,903.87 ",
1540 Canal LLC,Shane Daugherty,$332.06 ,
18975 Collins Condominium Association,Luis Salazar,$0.00 ,
2200 Fort Lauderdale Beach Master Association Inc,Luis Salazar,"$3,415.74 ",
2200 Fort Lauderdale Beach Master Association Restaurant,Luis Salazar,"$27,578.26 ",
237 Parking LLC,Luis Salazar,"$8,871.24 ",
299 N Federal Master LLC,Luis Salazar,$0.00 ,
310 S Cascade Ave,Shane Daugherty,$0.00 ,
3440 Broadway LLC,Troy Wilkinson,$747.56 ,
5 Star Valet Services LLC,Andrew Sherstad,$1.19 ,
5600 Condominium Association Inc,Luis Salazar,$0.00 ,
84 Truck & Trailer,Connor Gray,$0.00 ,
8th Street Development,Shane Daugherty,$0.00 ,https://admin.tez.io/workspaces/6545003ca42f83c8aeca4250
A Veteran's Valet,Christen Woods,,
A&A Wrecker and Recovery LLC,Shane Daugherty,$0.00 ,
A1 Valet,Kosta Alexopoulos,,
AAA Parking,Kevin Cobb,$0.00 ,
AB Parking,Luis Salazar,$404.46 ,
ABC Professional Enterprise LLC,Troy Wilkinson,$0.00 ,
ABC Services of Maryland,Troy Wilkinson,$303.00 ,
ABM Chicago,Kosta Alexopoulos,$0.00 ,
ABM Healthcare,Troy Wilkinson,,
ABM Las Vegas/Utah,Kevin Cobb,$0.00 ,
ABM Los Angeles,Mark Berglund,$0.00 ,
ABM Parking Services,Mark Berglund,"$1,055.24 ",
ABM Texas,Shane Daugherty,"$56,755.96 ",
ABM Washington,Mark Berglund,$0.00 ,
Access Control Group,John Matiz,$0.00 ,
Access Parking,Shane Daugherty,,
Ace Parking,Kevin Cobb,"$46,892.56 ",https://admin.tez.io/workspaces/65407e502b36370e82c2ce87
Ace Parking,Mark Berglund,,https://admin.tez.io/workspaces/65407e502b36370e82c2ce87
Acee's Inc,Troy Wilkinson,$0.00 ,
Acee's Inc,Kosta Alexopoulos,$0.00 ,
Acqualina Management LLC,Luis Salazar,"$50,715.13 ",
ADH Collision of Boston,Andrew Sherstad,$255.23 ,
Affiliated Parking Systems,Connor Gray,$0.00 ,
Alamo Parking Solutions,Shane Daugherty,"$2,034.47 ",
All City Parking Management,Kevin Cobb,"$19,859.90 ",
All City Parking Management,Shane Daugherty,$0.00 ,
Allpro Parking Ohio LLC,Troy Wilkinson,$0.00 ,
Alritey Inc,Kevin Cobb,$0.00 ,
American Parking,Shane Daugherty,"$4,378.16 ",
American Union Hotel Inc,Troy Wilkinson,$660.41 ,
American Valet Services,Luis Salazar,$406.00 ,
AmeriPark LLC,,"$171,445.00 ",
AmeriPark LLC,Luis Salazar,"$60,423.63 ",
AmeriPark LLC,John Matiz,"$5,866.61 ",
AmeriPark LLC,Andrew Sherstad,"$4,522.88 ",
AmeriPark LLC,Mark Berglund,$14.40 ,
AmeriPark LLC,Shane Daugherty,$0.00 ,
AmeriPark LLC,Geremy Rodamer,,
Amexon Property Management Inc,Troy Wilkinson,$0.00 ,
AN Parking Inc,Luis Salazar,$74.11 ,
Anderson Parking,John Matiz,$0.00 ,
Apex Parking LLC,Luis Salazar,$0.00 ,
Apex Valet Inc,Luis Salazar,"$9,358.65 ",
Apogee South Beach,Luis Salazar,$0.00 ,
Appleton International Airport-ATW,Troy Wilkinson,"$132,301.86 ",
Arendell Street Partners LLC,John Matiz,$2.31 ,
Arete Parking Solutions,Shane Daugherty,$0.00 ,
Aria on the Bay Condominium Association Inc,Luis Salazar,"$60,587.29 ",
Arya Hospitality,John Matiz,$0.00 ,
Asta Parking,Luis Salazar,$249.59 ,
Atavus Group,Luis Salazar,,
"Austin FBO, LLC dba Million Air Austin",Shane Daugherty,,
Auto Vault Storage,Kevin Cobb,$0.00 ,
AutoWerks Detailing,Mark Berglund,,
AVANTE GROUP COLOMBIA,Lily Barron,,
B and B Valet,John Matiz,$278.49 ,
Back in Motion,Christen Woods,$0.00 ,
Bardea Restaurant Group,Andrew Sherstad,$0.00 ,
Baywood Hotels,Troy Wilkinson,,
BDC/Block 216 LLC,Mark Berglund,,
BDI Parking,Ken Lovegreen,$0.00 ,
Beach Chu Hallandale,Luis Salazar,$0.00 ,
Beach Club Master Association,Luis Salazar,$0.00 ,
Beachfront Hospitality LLC,Luis Salazar,"$2,347.93 ",
Berkshire Investments,Kevin Cobb,"$19,382.61 ",
Berkshire Investments,John Matiz,$38.49 ,
Best Parking Ever,Andrew Sherstad,$0.00 ,
Best Valet,Kevin Cobb,$0.00 ,
Biscayne Beach  Condominium Association Inc,Luis Salazar,"$1,068.13 ",
Black Diamond Valet,Kevin Cobb,$0.00 ,
Black Teak Properties,Troy Wilkinson,"$7,010.00 ",
BLU Valet,Kosta Alexopoulos,$400.73 ,
Blue Diamond Condo Association,Luis Salazar,$0.00 ,
Boffo Cinemas,Kevin Cobb,$0.00 ,
BrightBase LLC,John Matiz,"$388,041.94 ",
Building Services Solution Corp,Luis Salazar,$0.00 ,
C&C Valet,Shane Daugherty,,
Café y Restaurante O SA de CV,Ken Lovegreen,,
CAH Palm Beach LLC,Luis Salazar,$0.00 ,
"CAH Surfside, LLC",Luis Salazar,"$7,680.63 ",
Caliber Parking LLC,John Matiz,$116.11 ,
Carcierge Valet - All American Parking Corp,Andrew Sherstad,$0.00 ,
