ReportName,Group
Location Revenue by Payment Type,Accounting Reports
Company Performance,Operational Reports
SMS Valet Daily Operations,Operational Reports
Text2Park Daily Operations,Operational Reports
Traffic Trends by City,Operational Reports
Location Performance Analysis,Operational Reports
SMS Valet Delivery Time Analysis,Operational Reports
SMS Valet,TEZ Systems
Text2Park,TEZ Systems
TEZ Home,TEZ Systems
TEZ Store,TEZ Systems
TEZPAY Deposit Report,
TEZPAY Transaction Detail Report,
BYOMA Transactions by Card Type,
TEZPAY Transactions by Card Type,
BYOMA Batch Report,
Parkers by ZIP Code (TEZPAY),
Parkers by ZIP Code (BYOMA),
Total Revenue & TEZ Fee,
Daily Operations Detail Report,
